,Origin,Destination,Distance,Time
0,177,3076,239,4
1,176,176,0,0
2,89,116,57,1
3,40,3029,201,3
4,130,3181,212,3
5,136,3074,151,2
6,3026,3150,232,3
7,179,179,0,0
8,145,193,203,3
9,3034,3068,76,1
10,3037,3037,0,0
11,16,110,327,5
12,69,191,467,7
13,25,69,328,5
14,135,3152,287,5
15,40,3061,179,3
16,104,142,171,3
17,21,74,291,5
18,24,3028,140,2
19,61,3029,115,2
20,130,170,151,2
21,89,3114,52,1
22,3026,3041,488,7
23,18,3163,559,8
24,88,181,152,3
25,3054,3190,107,2
26,43,158,314,5
27,41,3035,410,6
28,115,142,135,2
29,43,53,167,3
30,176,3181,258,4
31,37,64,0,0
32,47,3192,221,3
33,29,104,174,3
34,3021,3037,138,2
35,27,3116,191,6
36,125,152,263,4
37,3060,3192,221,3
38,21,3112,279,5
39,129,3069,151,2
40,70,88,70,1
41,85,145,150,2
42,117,152,366,5
43,136,3023,247,4
44,158,185,149,3
45,122,149,277,4
46,3018,3139,88,1
47,29,3074,129,2
48,152,3023,69,1
49,3031,3135,199,3
50,54,149,271,4
51,24,3194,35,1
52,170,3192,167,3
53,28,146,389,6
54,3106,3171,166,3
55,142,3193,228,4
56,18,18,0,0
57,29,131,277,4
58,31,176,445,7
59,34,3016,39,1
60,125,3103,12,0
61,3011,3086,197,3
62,110,3066,96,2
63,142,3114,174,3
64,3029,3136,39,1
65,26,3135,52,1
66,31,3176,283,5
67,68,125,155,2
68,70,3165,423,6
69,72,146,319,5
70,16,3070,314,5
71,75,3101,392,6
72,44,3106,428,6
73,111,193,418,6
74,40,185,166,3
75,181,3165,359,5
76,74,127,0,0
77,104,3054,58,1
78,165,3076,484,7
79,179,3149,215,3
80,130,3166,131,2
81,85,3104,383,6
82,136,3108,252,4
83,114,130,150,3
84,3185,3194,132,2
85,37,3165,516,7
86,3179,3185,201,3
87,53,3192,221,3
88,103,3106,317,5
89,3021,3165,516,7
90,129,3106,280,4
91,72,3158,253,4
92,192,3146,319,5
93,41,3029,379,6
94,108,3076,54,1
95,31,3158,379,6
96,17,3053,248,4
97,18,125,46,1
98,29,3040,0,0
99,88,122,76,1
100,3028,3122,306,5
101,104,3179,333,5
102,76,86,57,1
103,68,116,91,2
104,115,3075,135,2
105,3044,3177,0,0
106,3117,3150,362,5
107,3149,3181,201,3
108,3044,3053,251,4
109,103,3136,317,5
110,132,145,170,3
111,177,3053,394,7
112,20,3116,401,6
113,85,114,48,1
114,127,150,245,4
115,135,3043,190,4
116,25,139,377,6
117,139,158,339,5
118,17,110,110,2
119,145,3044,322,5
120,139,3181,372,6
121,3060,3129,288,4
122,3065,3122,169,3
123,3074,3102,245,4
124,194,3023,221,3
125,3037,3136,138,2
126,131,3185,276,4
127,54,3146,260,4
128,129,3103,334,5
129,44,3021,428,6
130,85,3017,242,4
131,25,3021,232,4
132,62,117,428,6
133,74,86,35,1
134,106,146,354,5
135,106,3035,0,0
136,3011,3085,62,1
137,68,3122,139,3
138,62,3069,175,3
139,64,3054,116,2
140,3041,3129,270,5
141,158,3101,459,7
142,3043,3074,157,3
143,53,110,144,2
144,108,3085,178,3
145,116,3142,377,6
146,145,3179,485,7
147,41,115,289,4
148,146,3190,344,5
149,3185,3192,238,4
150,114,3023,25,1
151,177,3065,181,3
152,185,3026,322,5
153,192,3190,25,1
154,115,3179,296,5
155,3035,3176,317,5
156,150,3104,475,7
157,29,156,166,3
158,104,3044,171,3
159,130,194,198,3
160,103,125,381,5
161,156,3017,112,2
162,37,107,166,3
163,40,53,166,3
164,116,3104,377,6
165,146,3034,355,5
166,20,194,346,5
167,62,132,58,1
168,3081,3114,241,4
169,3104,3104,0,0
170,3016,3024,286,4
171,3026,3166,322,5
172,85,3070,43,1
173,3146,3158,197,3
174,107,3117,268,5
175,122,3135,55,1
176,76,107,269,4
177,26,149,274,4
178,62,3139,149,3
179,85,3028,150,2
180,3068,3132,290,4
181,66,3109,169,3
182,64,163,521,8
183,25,3171,394,6
184,122,163,521,8
185,28,72,286,5
186,75,111,362,5
187,108,108,0,0
188,149,3117,84,1
189,3040,3065,167,3
190,21,3035,168,3
191,17,29,39,1
192,3020,3102,34,1
193,72,3102,34,1
194,117,3053,567,9
195,20,132,251,4
196,27,158,297,7
197,62,194,255,4
198,3031,3112,356,6
199,88,3061,61,1
200,3021,3031,221,3
201,106,3071,167,3
202,44,62,575,9
203,29,3191,228,4
204,43,114,298,5
205,25,3190,72,1
206,115,192,102,2
207,47,136,277,4
208,129,165,245,4
209,85,132,19,0
210,166,3103,403,6
211,3029,3034,39,1
212,3108,3127,395,6
213,146,3158,197,3
214,44,191,348,5
215,104,3016,219,4
216,182,3114,75,1
217,176,185,480,7
218,158,3131,284,4
219,3065,3193,74,1
220,34,3191,311,5
221,152,192,52,1
222,37,3106,0,0
223,152,3017,242,4
224,135,3129,187,3
225,68,3061,61,1
226,17,18,123,2
227,152,3152,150,2
228,152,3037,52,1
229,3069,3194,169,3
230,150,3070,224,4
231,3142,3185,419,6
232,145,3158,162,3
233,64,3149,277,4
234,3149,3152,271,4
235,61,104,65,1
236,86,3118,113,2
237,179,3043,413,7
238,193,3145,33,1
239,25,3150,311,5
240,43,3044,167,3
241,75,3043,305,5
242,68,88,0,0
243,3023,3139,119,2
244,66,3129,329,5
245,76,3171,307,5
246,3132,3150,332,5
247,150,170,37,1
248,25,3142,328,5
249,191,3158,494,7
250,116,3103,245,4
251,3066,3139,48,1
252,3026,3176,19,0
253,3150,3181,311,5
254,103,3114,231,4
255,35,3106,221,3
256,47,3034,0,0
257,3076,3190,144,2
258,3070,3191,85,2
259,20,106,280,4
260,185,3021,0,0
261,89,3082,57,1
262,60,145,150,2
263,17,3163,444,7
264,125,3114,252,4
265,3011,3011,0,0
266,74,3061,151,2
267,54,3020,111,2
268,16,146,150,2
269,149,182,201,3
270,74,3082,0,0
271,194,3181,333,5
272,74,3171,327,5
273,3034,3061,17,0
274,106,3018,89,1
275,104,135,267,4
276,75,3139,170,3
277,27,3103,75,4
278,34,81,313,5
279,152,3070,43,1
280,25,3086,82,2
281,176,3192,679,10
282,177,3163,191,3
283,193,3156,203,3
284,170,3034,66,1
285,25,53,232,4
286,74,3018,250,4
287,16,177,255,4
288,3104,3116,544,8
289,103,3145,234,4
290,20,31,276,4
291,139,3026,467,7
292,11,145,298,5
293,3011,3034,55,1
294,31,3117,224,4
295,31,139,285,4
296,111,3193,311,5
297,127,177,181,3
298,3106,3145,167,3
299,26,3029,0,0
300,41,145,162,3
301,44,132,590,9
302,44,3060,428,6
303,60,135,281,4
304,74,3179,327,5
305,88,3122,139,3
306,156,3185,201,3
307,191,3114,257,4
308,150,3102,335,5
309,47,176,479,7
310,192,3020,0,0
311,20,3177,280,4
312,116,145,170,3
313,122,3016,52,1
314,31,66,132,2
315,107,3135,122,2
316,3071,3185,132,2
317,3112,3181,201,3
318,74,3017,226,4
319,62,3136,149,3
320,193,3149,277,4
321,150,3035,97,2
322,29,122,0,0
323,35,3069,213,4
324,171,3023,116,2
325,3131,3176,265,4
326,132,3179,327,5
327,47,3031,221,3
328,53,3139,0,0
329,3122,3132,151,2
330,17,166,289,5
331,25,194,338,5
332,3074,3194,169,3
333,40,135,350,5
334,43,125,121,2
335,20,34,324,5
336,88,3071,91,2
337,76,3026,0,0
338,86,3026,140,2
339,70,3139,145,2
340,170,176,540,8
