First Origin,ZIP,Capacity
11,14219,4000
16,13601,7000
17,6457,7000
18,1887,7000
20,13209,4000
21,3784,4000
24,8691,4000
25,18067,1000
26,6457,4000
27,2554,1000
28,2771,7000
29,6279,9000
31,6457,15000
34,1862,1000
35,3561,1000
37,6279,4000
40,4005,1000
41,15801,4000
43,4072,1000
44,4730,4000
47,6279,1000
53,6279,1000
54,17339,4000
60,8810,999999
61,11714,999999
62,11714,999999
64,6279,15000
66,8832,4000
68,6615,7000
69,14219,4000
70,7307,15000
72,19454,4000
74,8832,4000
75,7801,9000
76,7307,7000
81,8007,15000
85,8810,15000
86,8691,15000
88,6615,999999
89,19154,15000
100,11211,4000
103,14845,9000
104,8817,1000
106,6279,4000
107,3784,4000
108,10913,7000
110,11236,1000
111,16063,1000
114,11101,9000
115,11101,4000
116,8832,1000
117,16063,4000
122,6279,15000
125,2379,4000
127,8832,4000
129,13209,4000
130,12144,4000
131,13209,999999
132,8832,999999
135,13403,4000
136,13209,1000
139,12901,4000
142,6279,15000
145,17339,7000
146,14586,4000
149,13209,4000
150,2379,15000
152,8810,7000
156,4005,4000
158,11714,1000
163,16063,1000
165,16415,4000
166,17339,4000
170,1760,999999
171,6279,999999
176,15639,15000
177,17756,4000
179,17922,4000
181,18067,999999
182,18067,999999
185,6279,15000
190,19113,9000
191,1887,7000
192,19454,4000
193,11239,4000
194,3053,15000
3011,1022,1000
3016,1505,1000
3017,1760,1000
3018,1887,1000
3020,19454,1000
3021,6279,1000
3023,10523,1000
3024,13209,1000
3026,17339,1000
3028,17339,1000
3029,6457,1000
3031,3561,1000
3034,6279,1000
3035,6279,1000
3037,7606,1000
3040,6279,1000
3041,4072,1000
3043,5452,1000
3044,6279,1000
3053,5452,1000
3054,10523,1000
3060,6279,1000
3061,6074,1000
3065,8832,1000
3066,6492,1000
3068,6615,1000
3069,12144,1000
3070,7307,1000
3071,8832,1000
3074,12144,1000
3075,6279,1000
3076,6615,1000
3081,3466,1000
3082,8832,1000
3085,1532,1000
3086,8810,1000
3101,16415,1000
3102,19341,1000
3103,2346,1000
3104,14219,1000
3106,6279,1000
3107,7307,1000
3108,6095,1000
3109,12144,1000
3112,13209,1000
3114,8817,1000
3116,4005,1000
3117,13748,1000
3118,11741,1000
3122,12144,1000
3127,14219,1000
3129,12901,1000
3131,13209,1000
3132,13209,1000
3135,1022,1000
3136,6279,1000
3139,6279,1000
3142,14219,1000
3145,8832,1000
3146,14586,1000
3149,13209,1000
3150,16063,1000
3152,17339,1000
3156,17339,1000
3158,15801,1000
3163,16323,1000
3165,16415,1000
3166,6279,1000
3171,4005,1000
3176,17057,1000
3177,6279,1000
3179,4005,1000
3181,18067,1000
3185,6457,1000
3190,19154,1000
3191,18067,1000
3192,3561,1000
3193,18067,1000
3194,8832,1000
