Path ID,ADV [Corrected]
192-165,8.09
70-29,142.24
108-3112,71.76
129-28,28.01
152-85,48.52
28-3114,4.63
177-54,4.56
127-181,334.73
60-85,14.65
192-64,45.7
100-69,110.51
66-177,7.93
43-47,4.25
131-3101,7.32
17-64,133.89
106-18,12.81
44-47,7.22
115-117,158.42
20-135,11.07
35-17,15.31
37-11,7.85
35-31,28.79
28-47,4.39
16-136,9.73
16-69,56.84
43-81,7.88
21-37,7.16
193-3112,14.95
16-108,36.43
156-16,40.19
40-146,3.06
28-21,117.21
116-108,36.04
145-44,7.35
130-11,19.03
74-54,27.93
176-74,794.23
150-3024,17.43
190-16,16.35
156-11,24.14
185-25,30.21
104-3112,37.89
68-163,20.23
146-176,69.95
34-166,2.98
192-3118,5.82
122-17,249.33
29-20,60
185-54,535.99
64-60,49.97
117-3114,5.33
171-41,17.21
171-11,113.46
193-74,18.09
20-66,19.16
135-193,13.32
60-86,28.06
156-43,15.89
100-100,323.44
81-114,279.61
103-149,13.96
34-108,7.25
25-114,0.55
156-103,35.06
125-3024,21.16
131-20,18.54
41-54,13.96
190-129,8.97
181-131,143.9
20-111,10.74
34-176,18.18
107-37,0.74
104-122,82.16
181-24,214.79
181-3114,188.6
142-20,86
43-76,2.3
76-69,21.1
179-156,19.8
75-3112,13.07
125-47,0.6
34-103,5.17
35-103,2.65
156-88,63.56
127-88,280.67
16-41,38.87
115-3081,34.76
26-85,37.4
60-40,138.8
193-69,12.05
171-88,311.23
16-185,50.57
130-85,16.32
85-16,318.35
104-24,5.11
116-54,7.23
110-131,7.67
75-145,23.93
104-3081,23.55
150-176,139.77
158-149,1.55
24-86,82.94
117-20,60.45
136-74,4.66
76-149,15.63
165-146,12.24
88-75,237.99
85-88,680.12
74-29,38.9
31-181,33.22
106-69,44.99
88-146,131.73
29-70,42.43
166-3101,2.29
179-129,2.04
177-29,12.75
106-40,3.07
28-149,19.61
31-177,6.57
130-106,14.55
34-68,15.68
125-115,19.3
176-107,541.29
117-41,14.22
68-3081,11.58
194-69,172.71
104-88,24.57
129-107,16.78
66-20,39.2
47-171,1.13
110-40,7.18
116-136,3.87
86-3112,190.49
103-129,9.35
81-131,41.56
158-163,3.08
150-74,24.28
26-3102,13.25
146-88,37.16
69-3102,44.19
54-26,14.35
114-192,20.92
18-66,53.22
17-166,2
177-139,8.85
104-142,25.76
25-40,1.09
85-139,100.6
166-165,5.48
31-103,75.33
177-163,8.92
166-3024,5.82
81-88,339.22
106-37,4.21
108-116,21.52
106-145,6.7
181-64,565.79
40-129,4.93
40-181,8.41
17-129,5.3
156-129,14.91
66-3102,12.97
166-86,11.53
177-25,0.79
104-17,62.36
18-81,22.26
21-60,5.59
29-106,17.14
190-149,8.53
43-54,10.39
100-106,83.08
122-191,84.57
26-64,64.82
131-149,63.04
68-43,53.81
103-108,44.23
190-177,6.82
68-142,126.87
75-17,23.84
131-60,4.76
139-21,10.52
64-88,179.21
177-116,2.82
100-127,77.92
85-130,275.24
Nov-60,12.49
181-21,584.14
44-136,3.21
163-165,2.69
20-177,10.82
130-114,8.53
142-43,53.98
190-35,4.2
156-35,11.03
179-166,11.67
86-194,148.33
142-11,36.81
44-68,3.94
60-20,157.48
20-106,20
24-21,424.14
29-191,37.7
21-3114,3.61
16-66,67.49
129-86,64.15
106-166,5.39
75-3118,8.95
185-3101,285.34
54-166,2.89
136-122,29.49
40-176,8.36
193-193,38.12
127-86,375.28
43-74,3.05
69-194,19.03
145-158,1.03
88-35,41.92
117-106,111.89
34-181,9.18
17-18,163.12
179-3024,7.15
115-150,86.55
76-117,54.53
179-69,9.57
34-177,2.56
18-86,57.29
192-135,3.84
74-177,15.38
111-142,29.57
20-127,54.32
35-163,1.35
44-66,4.21
150-11,17.66
146-3118,9.55
24-122,265.61
81-31,186.05
18-54,27.73
139-86,12.65
117-28,86.5
181-136,93.28
190-86,35.63
129-35,8.45
116-179,5.31
76-81,132.25
20-117,47.32
100-16,43.44
70-34,47.78
115-193,20.37
40-135,4.29
145-29,16.12
81-21,287.83
111-135,5.85
35-81,6.71
88-64,483.91
110-122,33.04
81-28,417.23
40-54,36.53
130-28,7.53
110-29,11.18
29-110,4.11
156-135,6.98
40-74,13.67
76-28,47.17
149-64,5.09
29-192,29.65
111-190,22.16
21-130,8.24
20-145,36.79
69-152,2.92
130-70,16.25
104-37,16.09
66-3024,22.63
70-129,35.31
129-74,19.11
70-28,157.46
76-116,12.96
16-40,21.83
64-156,33.16
181-177,407.33
171-3118,39.22
191-177,76.85
35-3114,0.62
104-106,32.23
191-163,39.51
192-146,16.71
106-165,3.03
85-68,450.89
190-27,1.4
28-131,10.58
26-3081,17.02
104-28,35.2
44-165,1.24
88-166,80.61
156-60,6.01
131-185,67.3
193-43,4.27
117-194,41.05
165-145,11
81-181,473.53
135-18,23.12
115-3102,66.14
24-81,152.14
24-135,30.64
115-130,38.73
114-145,21.75
185-150,678.33
145-35,2.97
86-3101,65.01
54-60,4.11
158-115,1.03
76-47,1.44
193-115,19.15
88-18,152.74
135-3024,19.92
41-27,1.4
117-17,37.68
125-70,57.81
116-20,14.34
136-20,2.17
110-3065,6.73
110-69,15.6
31-171,9.9
66-60,31.52
103-190,92.56
100-129,7.58
41-194,13.22
37-110,0.87
20-107,11.98
139-111,3.41
111-27,4.52
40-125,9.33
166-117,7.38
86-122,123.15
40-75,8.21
165-166,6.73
122-114,172.5
88-69,257.93
81-29,465.37
34-122,29.03
139-3114,0.58
29-100,20.41
190-135,2.73
40-177,3.58
35-122,25.32
69-142,21.85
192-69,15.72
122-28,259.79
111-66,18.86
31-81,82.78
68-131,21.22
146-103,50.33
88-43,147.34
158-86,5.14
28-27,9.12
54-69,18.07
139-108,5.18
24-149,17.92
165-171,49.76
192-3081,7.44
29-43,26.85
135-125,41.34
35-171,2.12
139-106,9.49
66-129,5.46
156-115,65.9
34-171,5.08
190-117,14.82
34-104,1.45
41-108,7.85
81-64,285.66
136-100,10.54
68-130,40.6
54-28,25.03
142-114,86.08
88-54,135.02
21-74,16.24
122-18,162.55
100-111,86.76
86-81,238
176-156,1000.29
29-176,98.85
192-68,36.78
26-193,22.57
106-3114,4.05
103-17,75.52
100-88,194.66
146-193,18.1
114-27,2.71
166-85,11.37
125-29,41.05
17-81,13.14
130-125,25.63
24-66,241.54
192-193,29.85
149-145,12.03
29-181,69.26
41-70,8.63
131-86,18.87
29-47,5.19
54-103,10.4
54-85,21.32
85-103,556.26
145-193,2.77
40-104,9.77
190-60,4.32
114-136,18
166-116,3.72
135-74,13.68
60-152,7.11
149-17,1.95
47-81,0.77
166-3071,9.26
104-76,12.44
171-3024,27.37
110-3081,20.71
115-18,33
40-106,12.93
31-70,90.37
135-179,8.33
16-64,90.62
27-115,0.98
108-85,60.13
54-44,5.57
176-158,135.17
21-18,27.85
16-3024,14.3
44-26,7.42
171-20,39.68
85-136,82.06
28-3118,25.21
149-21,1.66
131-31,12.32
179-43,8.7
