Path ID,ADV,,,,Origin,Destination,ADV
192-165,8.09,,,,192,165,8.09
70-29,142.24,,,,70,29,142.24
108-3112,71.76,,,,108,3112,71.76
129-28,28.01,,,,129,28,28.01
152-85,48.52,,,,152,85,48.52
28-3114,4.63,,,,28,3114,4.63
177-54,4.56,,,,177,54,4.56
127-181,334.73,,,,127,181,334.73
60-85,14.65,,,,60,85,14.65
192-64,45.7,,,,192,64,45.7
100-69,110.51,,,,100,69,110.51
66-177,7.93,,,,66,177,7.93
43-47,4.25,,,,43,47,4.25
131-3101,7.32,,,,131,3101,7.32
17-64,133.89,,,,17,64,133.89
106-18,12.81,,,,106,18,12.81
44-47,7.22,,,,44,47,7.22
115-117,158.42,,,,115,117,158.42
20-135,11.07,,,,20,135,11.07
35-17,15.31,,,,35,17,15.31
37-11,7.85,,,,37,11,7.85
35-31,28.79,,,,35,31,28.79
28-47,4.39,,,,28,47,4.39
16-136,9.73,,,,16,136,9.73
16-69,56.84,,,,16,69,56.84
43-81,7.88,,,,43,81,7.88
21-37,7.16,,,,21,37,7.16
193-3112,14.95,,,,193,3112,14.95
16-108,36.43,,,,16,108,36.43
156-16,40.19,,,,156,16,40.19
40-146,3.06,,,,40,146,3.06
28-21,117.21,,,,28,21,117.21
116-108,36.04,,,,116,108,36.04
145-44,7.35,,,,145,44,7.35
130-11,19.03,,,,130,11,19.03
74-54,27.93,,,,74,54,27.93
176-74,794.23,,,,176,74,794.23
150-3024,17.43,,,,150,3024,17.43
190-16,16.35,,,,190,16,16.35
156-11,24.14,,,,156,11,24.14
185-25,30.21,,,,185,25,30.21
104-3112,37.89,,,,104,3112,37.89
68-163,20.23,,,,68,163,20.23
146-176,69.95,,,,146,176,69.95
34-166,2.98,,,,34,166,2.98
192-3118,5.82,,,,192,3118,5.82
122-17,249.33,,,,122,17,249.33
29-20,60,,,,29,20,60
185-54,535.99,,,,185,54,535.99
64-60,49.97,,,,64,60,49.97
117-3114,5.33,,,,117,3114,5.33
171-41,17.21,,,,171,41,17.21
171-11,113.46,,,,171,11,113.46
193-74,18.09,,,,193,74,18.09
20-66,19.16,,,,20,66,19.16
135-193,13.32,,,,135,193,13.32
60-86,28.06,,,,60,86,28.06
156-43,15.89,,,,156,43,15.89
100-100,323.44,,,,100,100,323.44
81-114,279.61,,,,81,114,279.61
103-149,13.96,,,,103,149,13.96
34-108,7.25,,,,34,108,7.25
25-114,0.55,,,,25,114,0.55
156-103,35.06,,,,156,103,35.06
125-3024,21.16,,,,125,3024,21.16
131-20,18.54,,,,131,20,18.54
41-54,13.96,,,,41,54,13.96
190-129,8.97,,,,190,129,8.97
181-131,143.9,,,,181,131,143.9
20-111,10.74,,,,20,111,10.74
34-176,18.18,,,,34,176,18.18
107-37,0.74,,,,107,37,0.74
104-122,82.16,,,,104,122,82.16
181-24,214.79,,,,181,24,214.79
181-3114,188.6,,,,181,3114,188.6
142-20,86,,,,142,20,86
43-76,2.3,,,,43,76,2.3
76-69,21.1,,,,76,69,21.1
179-156,19.8,,,,179,156,19.8
75-3112,13.07,,,,75,3112,13.07
125-47,0.6,,,,125,47,0.6
34-103,5.17,,,,34,103,5.17
35-103,2.65,,,,35,103,2.65
156-88,63.56,,,,156,88,63.56
127-88,280.67,,,,127,88,280.67
16-41,38.87,,,,16,41,38.87
115-3081,34.76,,,,115,3081,34.76
26-85,37.4,,,,26,85,37.4
60-40,138.8,,,,60,40,138.8
193-69,12.05,,,,193,69,12.05
171-88,311.23,,,,171,88,311.23
16-185,50.57,,,,16,185,50.57
130-85,16.32,,,,130,85,16.32
85-16,318.35,,,,85,16,318.35
104-24,5.11,,,,104,24,5.11
116-54,7.23,,,,116,54,7.23
110-131,7.67,,,,110,131,7.67
75-145,23.93,,,,75,145,23.93
104-3081,23.55,,,,104,3081,23.55
150-176,139.77,,,,150,176,139.77
158-149,1.55,,,,158,149,1.55
24-86,82.94,,,,24,86,82.94
117-20,60.45,,,,117,20,60.45
136-74,4.66,,,,136,74,4.66
76-149,15.63,,,,76,149,15.63
165-146,12.24,,,,165,146,12.24
88-75,237.99,,,,88,75,237.99
85-88,680.12,,,,85,88,680.12
74-29,38.9,,,,74,29,38.9
31-181,33.22,,,,31,181,33.22
106-69,44.99,,,,106,69,44.99
88-146,131.73,,,,88,146,131.73
29-70,42.43,,,,29,70,42.43
166-3101,2.29,,,,166,3101,2.29
179-129,2.04,,,,179,129,2.04
177-29,12.75,,,,177,29,12.75
106-40,3.07,,,,106,40,3.07
28-149,19.61,,,,28,149,19.61
31-177,6.57,,,,31,177,6.57
130-106,14.55,,,,130,106,14.55
34-68,15.68,,,,34,68,15.68
125-115,19.3,,,,125,115,19.3
176-107,541.29,,,,176,107,541.29
117-41,14.22,,,,117,41,14.22
68-3081,11.58,,,,68,3081,11.58
194-69,172.71,,,,194,69,172.71
104-88,24.57,,,,104,88,24.57
129-107,16.78,,,,129,107,16.78
66-20,39.2,,,,66,20,39.2
47-171,1.13,,,,47,171,1.13
110-40,7.18,,,,110,40,7.18
116-136,3.87,,,,116,136,3.87
86-3112,190.49,,,,86,3112,190.49
103-129,9.35,,,,103,129,9.35
81-131,41.56,,,,81,131,41.56
158-163,3.08,,,,158,163,3.08
150-74,24.28,,,,150,74,24.28
26-3102,13.25,,,,26,3102,13.25
146-88,37.16,,,,146,88,37.16
69-3102,44.19,,,,69,3102,44.19
54-26,14.35,,,,54,26,14.35
114-192,20.92,,,,114,192,20.92
18-66,53.22,,,,18,66,53.22
17-166,2,,,,17,166,2
177-139,8.85,,,,177,139,8.85
104-142,25.76,,,,104,142,25.76
25-40,1.09,,,,25,40,1.09
85-139,100.6,,,,85,139,100.6
166-165,5.48,,,,166,165,5.48
31-103,75.33,,,,31,103,75.33
177-163,8.92,,,,177,163,8.92
166-3024,5.82,,,,166,3024,5.82
81-88,339.22,,,,81,88,339.22
106-37,4.21,,,,106,37,4.21
108-116,21.52,,,,108,116,21.52
106-145,6.7,,,,106,145,6.7
181-64,565.79,,,,181,64,565.79
40-129,4.93,,,,40,129,4.93
40-181,8.41,,,,40,181,8.41
17-129,5.3,,,,17,129,5.3
156-129,14.91,,,,156,129,14.91
66-3102,12.97,,,,66,3102,12.97
166-86,11.53,,,,166,86,11.53
177-25,0.79,,,,177,25,0.79
104-17,62.36,,,,104,17,62.36
18-81,22.26,,,,18,81,22.26
21-60,5.59,,,,21,60,5.59
29-106,17.14,,,,29,106,17.14
190-149,8.53,,,,190,149,8.53
43-54,10.39,,,,43,54,10.39
100-106,83.08,,,,100,106,83.08
122-191,84.57,,,,122,191,84.57
26-64,64.82,,,,26,64,64.82
131-149,63.04,,,,131,149,63.04
68-43,53.81,,,,68,43,53.81
103-108,44.23,,,,103,108,44.23
190-177,6.82,,,,190,177,6.82
68-142,126.87,,,,68,142,126.87
75-17,23.84,,,,75,17,23.84
131-60,4.76,,,,131,60,4.76
139-21,10.52,,,,139,21,10.52
64-88,179.21,,,,64,88,179.21
177-116,2.82,,,,177,116,2.82
100-127,77.92,,,,100,127,77.92
85-130,275.24,,,,85,130,275.24
22221,12.49,,,,22221,,12.49
181-21,584.14,,,,181,21,584.14
44-136,3.21,,,,44,136,3.21
163-165,2.69,,,,163,165,2.69
20-177,10.82,,,,20,177,10.82
130-114,8.53,,,,130,114,8.53
142-43,53.98,,,,142,43,53.98
190-35,4.2,,,,190,35,4.2
156-35,11.03,,,,156,35,11.03
179-166,11.67,,,,179,166,11.67
86-194,148.33,,,,86,194,148.33
142-11,36.81,,,,142,11,36.81
44-68,3.94,,,,44,68,3.94
60-20,157.48,,,,60,20,157.48
20-106,20,,,,20,106,20
24-21,424.14,,,,24,21,424.14
29-191,37.7,,,,29,191,37.7
21-3114,3.61,,,,21,3114,3.61
16-66,67.49,,,,16,66,67.49
129-86,64.15,,,,129,86,64.15
106-166,5.39,,,,106,166,5.39
75-3118,8.95,,,,75,3118,8.95
185-3101,285.34,,,,185,3101,285.34
54-166,2.89,,,,54,166,2.89
136-122,29.49,,,,136,122,29.49
40-176,8.36,,,,40,176,8.36
193-193,38.12,,,,193,193,38.12
127-86,375.28,,,,127,86,375.28
43-74,3.05,,,,43,74,3.05
69-194,19.03,,,,69,194,19.03
145-158,1.03,,,,145,158,1.03
88-35,41.92,,,,88,35,41.92
117-106,111.89,,,,117,106,111.89
34-181,9.18,,,,34,181,9.18
17-18,163.12,,,,17,18,163.12
179-3024,7.15,,,,179,3024,7.15
115-150,86.55,,,,115,150,86.55
76-117,54.53,,,,76,117,54.53
179-69,9.57,,,,179,69,9.57
34-177,2.56,,,,34,177,2.56
18-86,57.29,,,,18,86,57.29
192-135,3.84,,,,192,135,3.84
74-177,15.38,,,,74,177,15.38
111-142,29.57,,,,111,142,29.57
20-127,54.32,,,,20,127,54.32
35-163,1.35,,,,35,163,1.35
44-66,4.21,,,,44,66,4.21
150-11,17.66,,,,150,11,17.66
146-3118,9.55,,,,146,3118,9.55
24-122,265.61,,,,24,122,265.61
81-31,186.05,,,,81,31,186.05
18-54,27.73,,,,18,54,27.73
139-86,12.65,,,,139,86,12.65
117-28,86.5,,,,117,28,86.5
181-136,93.28,,,,181,136,93.28
190-86,35.63,,,,190,86,35.63
129-35,8.45,,,,129,35,8.45
116-179,5.31,,,,116,179,5.31
76-81,132.25,,,,76,81,132.25
20-117,47.32,,,,20,117,47.32
