,Origin,Destination,Distance,Time
0,5452,7307,300,5
1,7801,8810,58,1
2,6279,11741,170,3
3,8817,8832,7,0
4,7606,17057,183,3
5,13601,13748,149,2
6,3053,19341,362,6
7,5452,14586,319,6
8,7307,7606,10,1
9,2554,13209,406,9
10,19454,2379,316,5
11,8832,11236,34,1
12,6095,12144,104,2
13,1022,10523,127,2
14,8691,7606,65,1
15,14845,11741,288,4
16,13601,15639,454,7
17,17339,18067,101,2
18,3053,11741,275,4
19,10523,13209,247,4
20,4072,15639,641,10
21,10523,11741,64,1
22,8007,5452,387,7
23,1887,1887,0,0
24,3561,4005,178,3
25,1505,12144,138,2
26,7307,8817,32,1
27,16415,13748,282,4
28,4730,11211,562,8
29,11714,3053,255,4
30,1887,11239,225,4
31,2554,2554,0,0
32,19341,8832,94,1
33,17922,6074,260,4
34,16415,1760,537,8
35,2771,11211,188,3
36,1887,8817,257,4
37,13601,4072,430,7
38,8832,17756,181,3
39,10913,17756,194,3
40,14219,1532,432,6
41,3561,12144,213,4
42,4730,8007,652,10
43,3784,6279,168,3
44,1505,6279,52,1
45,3053,14219,487,7
46,1505,1505,0,0
47,7606,16323,345,5
48,7801,3561,370,6
49,6279,7801,171,3
50,1887,11101,218,4
51,8007,3053,334,5
52,17922,7606,140,2
53,1022,1887,97,2
54,10523,8832,54,1
55,8817,1760,231,4
56,13403,1760,247,4
57,6095,4005,189,3
58,6279,1887,89,1
59,8817,1887,256,4
60,2771,7307,190,4
61,19113,6492,193,3
62,1887,3561,140,2
63,15801,18067,217,3
64,14845,6457,286,4
65,10913,16063,409,6
66,2771,14845,362,5
67,4730,11714,575,9
68,17756,16415,267,4
69,17922,16063,271,4
70,11101,7307,7,0
71,1760,19454,297,5
72,2554,19113,387,9
73,3784,4730,412,6
74,17922,19154,102,2
75,8691,1022,212,4
76,8810,14219,383,6
77,17756,8817,177,3
78,6074,8817,158,3
79,17756,17756,0,0
80,4072,1505,117,2
81,12901,19113,406,6
82,16063,19154,338,5
83,1532,16415,528,8
84,16063,17339,232,3
85,3053,6095,134,2
86,8007,19341,43,1
87,7801,14586,299,4
88,8832,7307,25,1
89,16415,17922,318,5
90,13403,17339,287,5
91,2379,7307,224,4
92,18067,7606,94,2
93,3784,10913,253,4
94,3466,17057,385,6
95,1760,8832,227,4
96,1862,6074,100,2
97,11211,12144,158,3
98,19454,13209,239,4
99,11239,19154,89,2
100,8832,10913,50,1
101,15801,14845,199,3
102,11211,1760,199,3
103,7307,11211,7,0
104,1862,1022,96,2
105,7307,10523,32,1
106,2554,11239,286,7
107,3466,14219,372,6
108,14219,15639,239,4
109,15639,14219,239,4
110,1862,6095,111,2
111,12901,14586,316,5
112,8007,17339,123,4
113,3561,19454,437,7
114,8691,8691,0,0
115,14219,11714,406,7
116,8832,8007,65,1
117,14219,12901,385,6
118,12144,13403,100,2
119,7801,7801,0,0
120,7606,2346,218,3
121,7307,8691,57,1
122,3466,16063,554,9
123,13601,7307,314,5
124,16415,1887,562,8
125,13748,12144,139,2
126,13601,14586,150,2
127,1505,8832,213,3
128,7307,7307,0,0
129,13209,10523,247,4
130,2771,2771,0,0
131,14845,1760,347,5
132,2379,17057,395,6
133,15639,15801,96,2
134,11714,17756,214,3
135,2346,13209,334,5
136,11741,11741,0,0
137,1532,8817,224,4
138,11239,8817,40,1
139,14219,5452,388,7
140,19154,11211,84,2
141,8007,11239,98,2
142,3053,6615,181,3
143,3561,11236,345,5
144,4072,10523,278,4
145,3466,1532,79,2
146,3053,6492,153,2
147,13601,11211,319,5
148,1760,8817,235,4
149,6457,6279,39,1
150,8817,13748,167,3
151,8007,17756,180,3
152,14219,3561,497,8
153,13601,13403,84,2
154,2379,2346,12,0
155,8007,19154,25,1
156,13601,11236,327,5
157,16063,6095,504,7
158,3053,10523,221,3
159,6492,6457,14,0
160,4072,6492,211,3
161,16063,18067,311,5
162,3561,19341,459,7
163,14845,16323,223,4
164,6095,6095,0,0
165,15801,3784,532,8
166,6615,17339,247,4
167,13601,17339,336,5
168,11101,2379,214,3
169,8832,6615,90,2
170,2379,11239,220,4
171,15801,6279,410,6
172,18067,3053,338,5
173,19341,6279,257,4
174,17756,8832,181,3
175,13403,2346,281,4
176,8817,12144,173,3
177,1760,3466,92,2
178,3466,1022,65,1
179,6279,15801,410,6
180,8007,2379,308,5
181,17339,5452,461,8
182,11236,19341,126,2
183,16415,12901,480,8
184,8810,4072,348,5
185,2554,17057,462,10
186,4072,10913,290,5
187,7307,6492,97,2
188,7801,1760,230,4
189,10523,16415,444,6
190,4005,11211,301,5
191,1532,11741,220,4
192,7606,15801,280,4
193,8810,16063,366,5
194,6074,16415,492,7
195,13209,1505,286,4
196,8817,19154,52,1
197,11236,4072,310,5
198,19454,3053,342,5
199,14586,8817,328,5
200,1887,12144,175,3
201,3784,7307,269,4
202,14586,1505,362,5
203,18067,6457,198,3
204,3561,19113,444,7
205,13403,6615,235,4
206,17922,17057,56,1
207,1760,19341,318,5
208,14219,6074,398,6
209,7801,16323,316,5
210,15639,19113,281,4
211,10523,6074,104,2
212,12144,16415,389,6
213,4730,1022,436,6
214,19154,13748,180,3
215,16415,6615,484,7
216,2771,14586,389,6
217,14845,10523,231,4
218,8817,13403,267,4
219,14586,6279,355,5
220,3784,13403,228,4
221,7307,2379,224,4
222,15801,1887,494,7
223,19454,6095,221,4
224,8007,11714,124,2
225,19454,10913,120,2
226,19454,1022,250,4
227,18067,19341,71,1
